config,question_num,total_cost_usd,total_time_sec,accuracy
archon-config-1.json,1,0.00884,66.0004,CORRECT
archon-config-1.json,2,0.00852,61.4739,WRONG
archon-config-1.json,3,0.0107,110.0995,CORRECT
archon-config-1.json,4,0.00582,50.2585,WRONG
archon-config-1.json,5,0.01299,107.2811,CORRECT
archon-config-1.json,6,0.01095,95.8767,WRONG
archon-config-1.json,7,0.01081,86.4834,CORRECT
archon-config-1.json,8,0.01105,83.5541,CORRECT
archon-config-1.json,9,0.007,49.4565,CORRECT
archon-config-1.json,10,0.00861,60.4459,WRONG
archon-config-1.json,11,0.00823,56.0307,CORRECT
archon-config-1.json,12,0.01085,91.5819,WRONG
archon-config-1.json,13,0.01325,119.0975,CORRECT
archon-config-1.json,14,0.00612,42.9799,WRONG
archon-config-1.json,15,0.0102,94.2221,WRONG
archon-config-1.json,16,0.00991,75.3118,CORRECT
archon-config-1.json,17,0.01068,103.2007,CORRECT
archon-config-1.json,18,0.0196,155.1502,WRONG
archon-config-1.json,19,0.01089,69.2144,WRONG
archon-config-1.json,20,0.00657,47.9084,CORRECT
archon-config-1.json,21,0.00829,52.1928,WRONG
archon-config-1.json,22,0.00413,34.18,WRONG
archon-config-1.json,23,0.00875,68.7976,WRONG
archon-config-1.json,24,0.01392,125.9408,WRONG
archon-config-1.json,25,0.00774,52.7433,WRONG
archon-config-1.json,26,0.01083,74.272,WRONG
archon-config-1.json,27,0.00717,48.7234,CORRECT
archon-config-1.json,28,0.01045,55.1089,WRONG
archon-config-1.json,29,0.01051,77.0952,CORRECT
archon-config-1.json,30,0.00669,54.6962,WRONG
archon-config-1.json,31,0.00808,66.7482,CORRECT
archon-config-1.json,32,0.01027,93.494,WRONG
archon-config-1.json,33,0.00842,62.547,WRONG
archon-config-1.json,34,0.0112,73.6252,WRONG
archon-config-1.json,35,0.01276,104.3846,WRONG
archon-config-1.json,36,0.006,40.197,CORRECT
archon-config-1.json,37,0.01074,87.3152,WRONG
archon-config-1.json,38,0.00936,61.3721,WRONG
archon-config-1.json,39,0.0095,75.7009,CORRECT
archon-config-1.json,40,0.00441,39.8359,CORRECT
archon-config-1.json,41,0.00862,58.5418,WRONG
archon-config-1.json,42,0.01234,84.1976,CORRECT
archon-config-1.json,43,0.00938,60.0554,WRONG
archon-config-1.json,44,0.0065,39.0827,WRONG
archon-config-1.json,45,0.01673,105.0823,WRONG
archon-config-1.json,46,0.00773,61.6155,WRONG
archon-config-1.json,47,0.00802,68.9032,WRONG
archon-config-1.json,48,0.00804,79.2058,WRONG
archon-config-1.json,49,0.00914,56.254,WRONG
archon-config-1.json,50,0.0067,54.0375,CORRECT
archon-config-1.json,51,0.00972,85.5125,CORRECT
archon-config-1.json,52,0.01137,108.1781,CORRECT
archon-config-1.json,53,0.00968,78.6971,WRONG
archon-config-1.json,54,0.0088,55.5998,WRONG
archon-config-1.json,55,0.00749,58.1502,CORRECT
archon-config-1.json,56,0.01262,103.0849,CORRECT
archon-config-1.json,57,0.01746,129.2399,WRONG
archon-config-1.json,58,0.00524,39.9765,WRONG
archon-config-1.json,59,0.0111,88.6413,CORRECT
archon-config-1.json,60,0.01442,107.4428,WRONG
archon-config-1.json,61,0.00924,62.5121,WRONG
archon-config-1.json,62,0.01093,71.9794,CORRECT
archon-config-1.json,63,0.01891,119.9965,WRONG
archon-config-1.json,64,0.02116,153.409,CORRECT
archon-config-1.json,65,0.00842,61.4785,CORRECT
archon-config-1.json,66,0.00666,55.7685,WRONG
archon-config-1.json,67,0.01055,78.3621,WRONG
archon-config-1.json,68,0.00815,55.3185,CORRECT
archon-config-1.json,69,0.01283,104.9724,CORRECT
archon-config-1.json,70,0.01094,107.4241,WRONG
archon-config-1.json,71,0.00771,53.3142,CORRECT
archon-config-1.json,72,0.00942,87.9466,WRONG
archon-config-1.json,73,0.0092,64.8803,CORRECT
archon-config-1.json,74,0.0084,60.7751,CORRECT
archon-config-1.json,75,0.01048,47.7874,CORRECT
archon-config-1.json,76,0.00592,38.4708,WRONG
archon-config-1.json,77,0.01231,62.6055,WRONG
archon-config-1.json,78,0.01049,78.944,CORRECT
archon-config-1.json,79,0.01166,77.3198,CORRECT
archon-config-1.json,80,0.01072,105.9083,WRONG
archon-config-1.json,81,0.00944,78.3755,CORRECT
archon-config-1.json,82,0.01199,60.2108,WRONG
archon-config-1.json,83,0.01536,148.5284,WRONG
archon-config-1.json,84,0.00441,34.0067,CORRECT
archon-config-1.json,85,0.01401,107.5176,WRONG
archon-config-1.json,86,0.01126,60.4908,WRONG
archon-config-1.json,87,0.01001,63.7526,CORRECT
archon-config-1.json,88,0.00705,38.6246,CORRECT
archon-config-1.json,89,0.00965,59.8429,WRONG
archon-config-1.json,90,0.01018,72.7073,WRONG
archon-config-1.json,91,0.01051,74.9613,CORRECT
archon-config-1.json,92,0.01124,95.0184,WRONG
archon-config-1.json,93,0.01116,77.0928,WRONG
archon-config-1.json,94,0.00924,59.7406,WRONG
archon-config-1.json,95,0.01026,66.0092,CORRECT
archon-config-1.json,96,0.00931,75.4574,WRONG
archon-config-1.json,97,0.00767,47.3045,CORRECT
archon-config-1.json,98,0.0084,53.1128,CORRECT
archon-config-1.json,99,0.01103,74.8785,WRONG
archon-config-12.json,1,0.0042,46.9045,CORRECT
archon-config-12.json,2,0.00415,41.8381,WRONG
archon-config-12.json,3,0.00591,59.7121,CORRECT
archon-config-12.json,4,0.00343,39.2339,WRONG
archon-config-12.json,5,0.00744,57.4569,CORRECT
archon-config-12.json,6,0.00465,41.3598,CORRECT
archon-config-12.json,7,0.01258,76.9079,CORRECT
archon-config-12.json,8,0.00708,52.0486,CORRECT
archon-config-12.json,9,0.00446,33.0207,WRONG
archon-config-12.json,10,0.00289,33.0095,WRONG
archon-config-12.json,11,0.00631,56.461,CORRECT
archon-config-12.json,12,0.00676,72.1281,CORRECT
archon-config-12.json,13,0.00663,63.3122,WRONG
archon-config-12.json,14,0.00362,34.3277,CORRECT
archon-config-12.json,15,0.00628,39.1586,CORRECT
archon-config-12.json,16,0.00565,55.7195,CORRECT
archon-config-12.json,17,0.01053,73.9508,CORRECT
archon-config-12.json,18,0.01051,56.4061,WRONG
archon-config-12.json,19,0.00896,59.6898,WRONG
archon-config-12.json,20,0.00337,22.4069,CORRECT
archon-config-12.json,21,0.00479,36.2257,CORRECT
archon-config-12.json,22,0.00283,31.0377,WRONG
archon-config-12.json,23,0.00469,37.5896,CORRECT
archon-config-12.json,24,0.00788,83.5089,WRONG
archon-config-12.json,25,0.00637,46.3285,WRONG
archon-config-12.json,26,0.00576,51.7674,WRONG
archon-config-12.json,27,0.00339,46.8091,CORRECT
archon-config-12.json,28,0.00605,47.6282,WRONG
archon-config-12.json,29,0.00539,40.5254,WRONG
archon-config-12.json,30,0.0031,29.1884,CORRECT
archon-config-12.json,31,0.00435,51.2474,WRONG
archon-config-12.json,32,0.0061,50.6432,CORRECT
archon-config-12.json,33,0.00559,43.0922,WRONG
archon-config-12.json,34,0.00745,55.4821,WRONG
archon-config-12.json,35,0.00681,51.0637,CORRECT
archon-config-12.json,36,0.00309,35.0367,CORRECT
archon-config-12.json,37,0.00573,65.441,WRONG
archon-config-12.json,38,0.00621,47.7183,CORRECT
archon-config-12.json,39,0.00538,42.4243,CORRECT
archon-config-12.json,40,0.00256,27.8846,CORRECT
archon-config-12.json,41,0.00452,44.8863,CORRECT
archon-config-12.json,42,0.00742,55.8161,CORRECT
archon-config-12.json,43,0.00784,50.6861,WRONG
archon-config-12.json,44,0.00494,38.5249,CORRECT
archon-config-12.json,45,0.00522,44.761,WRONG
archon-config-12.json,46,0.00395,46.9722,CORRECT
archon-config-12.json,47,0.00469,42.3644,CORRECT
archon-config-12.json,48,0.0042,49.8855,WRONG
archon-config-12.json,49,0.00702,57.1662,WRONG
archon-config-12.json,50,0.00365,36.7179,CORRECT
archon-config-12.json,51,0.00392,45.5019,CORRECT
archon-config-12.json,52,0.00709,63.0708,CORRECT
archon-config-12.json,53,0.00589,55.568,WRONG
archon-config-12.json,54,0.00561,46.9489,CORRECT
archon-config-12.json,55,0.00398,45.1907,WRONG
archon-config-12.json,56,0.00599,48.4865,WRONG
archon-config-12.json,57,0.00747,60.2112,WRONG
archon-config-12.json,58,0.00312,31.7435,WRONG
archon-config-12.json,59,0.0062,56.9367,CORRECT
archon-config-12.json,60,0.00542,53.8494,CORRECT
archon-config-12.json,61,0.00455,42.1258,CORRECT
archon-config-12.json,62,0.00532,48.2266,CORRECT
archon-config-12.json,63,0.01183,90.6844,CORRECT
archon-config-12.json,64,0.00862,55.6515,WRONG
archon-config-12.json,65,0.00507,41.0209,WRONG
archon-config-12.json,66,0.00348,35.2491,CORRECT
archon-config-12.json,67,0.00679,61.9302,CORRECT
archon-config-12.json,68,0.00499,45.3339,CORRECT
archon-config-12.json,69,0.0059,64.6058,CORRECT
archon-config-12.json,70,0.00371,46.5988,WRONG
archon-config-12.json,71,0.00497,44.0268,CORRECT
archon-config-12.json,72,0.00524,50.5067,WRONG
archon-config-12.json,73,0.00654,54.3878,CORRECT
archon-config-12.json,74,0.0067,41.1199,CORRECT
archon-config-12.json,75,0.00653,42.8456,CORRECT
archon-config-12.json,76,0.00407,34.0376,WRONG
archon-config-12.json,77,0.00651,51.0164,WRONG
archon-config-12.json,78,0.00573,40.1153,CORRECT
archon-config-12.json,79,0.00559,53.9819,CORRECT
archon-config-12.json,80,0.00952,75.6988,WRONG
archon-config-12.json,81,0.00545,43.7613,WRONG
archon-config-12.json,82,0.00831,52.4152,WRONG
archon-config-12.json,83,0.01186,118.6086,WRONG
archon-config-12.json,84,0.00266,28.2623,CORRECT
archon-config-12.json,85,0.00861,76.297,WRONG
archon-config-12.json,86,0.00692,52.8051,WRONG
archon-config-12.json,87,0.00647,46.8527,WRONG
archon-config-12.json,88,0.00386,28.9027,CORRECT
archon-config-12.json,89,0.00501,55.617,WRONG
archon-config-12.json,90,0.00437,51.8339,WRONG
archon-config-12.json,91,0.0043,43.3208,CORRECT
archon-config-12.json,92,0.00728,82.0594,WRONG
archon-config-12.json,93,0.00603,41.8992,WRONG
archon-config-12.json,94,0.00443,38.1453,WRONG
archon-config-12.json,95,0.00565,69.8548,WRONG
archon-config-12.json,96,0.00555,51.8561,CORRECT
archon-config-12.json,97,0.00481,35.4463,CORRECT
archon-config-12.json,98,0.00466,46.4961,WRONG
archon-config-12.json,99,0.00567,46.9531,WRONG
archon-config-13.json,1,0.0185,43.3413,CORRECT
archon-config-13.json,2,0.01852,41.5428,CORRECT
archon-config-13.json,3,0.02804,51.6436,CORRECT
archon-config-13.json,4,0.01653,31.9143,WRONG
archon-config-13.json,5,0.03967,63.8338,CORRECT
archon-config-13.json,6,0.02478,49.7654,CORRECT
archon-config-13.json,7,0.03613,72.3803,CORRECT
archon-config-13.json,8,0.02655,46.1137,CORRECT
archon-config-13.json,9,0.01925,44.4703,WRONG
archon-config-13.json,10,0.01568,33.4951,CORRECT
archon-config-13.json,11,0.02142,40.9308,CORRECT
archon-config-13.json,12,0.02231,55.7227,CORRECT
archon-config-13.json,13,0.03011,62.0724,CORRECT
archon-config-13.json,14,0.01747,37.2818,WRONG
archon-config-13.json,15,0.03022,52.5169,CORRECT
archon-config-13.json,16,0.02566,55.0298,WRONG
archon-config-13.json,17,0.02108,36.7348,CORRECT
archon-config-13.json,18,0.03841,58.6983,WRONG
archon-config-13.json,19,0.03001,60.2413,WRONG
archon-config-13.json,20,0.01536,29.7026,CORRECT
archon-config-13.json,21,0.02395,39.6929,CORRECT
archon-config-13.json,22,0.01276,27.3834,WRONG
archon-config-13.json,23,0.02498,45.6399,WRONG
archon-config-13.json,24,0.02335,51.2536,CORRECT
archon-config-13.json,25,0.02602,41.0982,CORRECT
archon-config-13.json,26,0.02857,49.0857,WRONG
archon-config-13.json,27,0.01768,41.2259,CORRECT
archon-config-13.json,28,0.0262,49.3904,WRONG
archon-config-13.json,29,0.03742,43.2975,WRONG
archon-config-13.json,30,0.01693,25.918,WRONG
archon-config-13.json,31,0.01895,39.06,WRONG
archon-config-13.json,32,0.02195,39.3082,CORRECT
archon-config-13.json,33,0.02252,28.1929,WRONG
archon-config-13.json,34,0.02521,31.0455,WRONG
archon-config-13.json,35,0.03093,51.6886,WRONG
archon-config-13.json,36,0.01407,33.0248,CORRECT
archon-config-13.json,37,0.02559,43.3863,WRONG
archon-config-13.json,38,0.02244,37.0014,CORRECT
archon-config-13.json,39,0.01941,32.5872,CORRECT
archon-config-13.json,40,0.01288,23.173,CORRECT
archon-config-13.json,41,0.02409,57.2032,WRONG
archon-config-13.json,42,0.04629,92.3827,WRONG
archon-config-13.json,43,0.0222,36.5067,WRONG
archon-config-13.json,44,0.02159,38.8598,WRONG
archon-config-13.json,45,0.05603,130.3939,WRONG
archon-config-13.json,46,0.01743,37.7461,WRONG
archon-config-13.json,47,0.01979,35.9526,CORRECT
archon-config-13.json,48,0.02222,46.6504,WRONG
archon-config-13.json,49,0.02834,50.4475,WRONG
archon-config-13.json,50,0.01418,24.5557,CORRECT
